001 青霉素 			 肺炎 			35 20.5
002 头孢氨苄 			呼吸道感染 28 18.3
003 头孢呋辛			泌尿系统感染 42 35.6
004 庆大霉素 			肠道感染 30 12.8
005 多西环素 			梅毒 15 30.2
006 利福平 			结核病 20 15.9
007 异烟肼 			肺结核 38 8.6
008 乙胺丁醇 			结核性脑膜炎 26 10.5
009 吡嗪酰胺 			结核病 40 9.8
010 链霉素 			兔热病 18 25.3
011 替硝唑 			厌氧菌感染 36 16.7
012 万古霉素 			耐甲氧西林金黄色葡萄球菌感染 12 180.5
013 去甲万古霉素 		败血症 16 200.3
014 克林霉素 			骨髓炎 29 33.8
015 磷霉素 			泌尿系统感染 33 22.6
016 复方新诺明 			泌尿道感染 45 13.5
017 呋喃妥因 			膀胱炎 23 11.2
018 利巴韦林 			病毒性呼吸道感染 39 28.5
019 干扰素 			慢性乙型肝炎 10 150.0
020 拉米夫定 			乙肝 14 120.5
021 阿德福韦酯 			慢性乙肝 22 135.8
022 恩替卡韦 			慢性乙型肝炎 30 280.0
023 替比夫定 			乙肝 19 185.6
024 达卡他韦 			丙型肝炎 8 450.0
025 索磷布韦 			丙肝 11 380.0
026 伏立康唑 			侵袭性曲霉病 13 320.0
027 泊沙康唑 			预防侵袭性真菌感染 9 400.0
028 两性霉素 			B深部真菌感染 6 550.0
029 制霉菌素 			念珠菌性阴道炎 25 18.5
030 特比萘芬 			甲癣 32 45.6
031 灰黄霉素 			头癣 17 30.8
032 联苯苄唑 			花斑癣 27 25.6
033 莫匹罗星 			皮肤感染 48 22.3
034 夫西地酸 			皮肤软组织感染 34 38.5
035 过氧苯甲酰 			痤疮 46 15.6
036 维A酸 			寻常痤疮 24 30.5
037 阿达帕林 			粉刺 37 40.2
038 壬二酸 			痤疮 21 35.8
039 他克莫司 			特应性皮炎 15 180.5
040 吡美莫司 			异位性皮炎 20 200.6
041 炉甘石洗剂 			瘙痒性皮肤病 50 12.5
042 氢化可的松 			过敏性皮炎 31 8.9
043 地奈德 			接触性皮炎 43 16.8
044 曲安奈德 			神经性皮炎 28 22.5
045 卤米松 			脂溢性皮炎 36 33.6
046 倍他米松 			局限性瘙痒症 19 28.5
047 艾洛松 			湿疹 41 40.5
048 尿素软膏 			手足皲裂 33 9.8
049 水杨酸软膏 			鸡眼 26 15.6
050 鱼石脂软膏 			疖肿 44 10.5
051 金霉素眼膏 			沙眼衣原体感染性睑缘炎 55 6.8
052 妥布霉素眼膏 		眼部细菌感染 47 18.5
053 普拉洛芬滴眼液 		外眼及眼前节炎症 38 30.5
054 双氯芬酸钠滴眼液 	眼部炎症 49 22.8
055 噻吗洛尔滴眼液 		青光眼 22 18.6
056 布林佐胺滴眼液 		高眼压症 34 55.6
